colorCode,colorName,hexColor
SW2861,Avocado,#857C5D
SW2863,Powder Blue,#89A4AD
SW2865,Classical Yellow,#F8D492
SW6000,Snowfall,#E0DEDA
SW6001,Grayish,#CFCAC7
SW6002,Essential Gray,#BCB8B6
SW6003,Proper Gray,#ADA8A5
SW6004,Mink,#847B77
SW6005,Folkstone,#6D6562
SW6006,Black Bean,#403330
SW6007,Smart White,#E4DBD8
SW6008,Individual White,#D4CDCA
SW6009,Imagine,#C2B6B6
SW6010,Flexible Gray,#B1A3A1
SW6011,Chinchilla,#867875
SW6012,Browse Brown,#6E615F
SW6013,Bitter Chocolate,#4D3C3C
SW6015,Vaguely Mauve,#D1C5C4
SW6016,Chaise Mauve,#C1B2B3
SW6017,Intuitive,#B3A3A5
SW6018,Enigma,#8B7C7E
SW6019,Poetry Plum,#6F5C5F
SW6020,Marooned,#4E3132
SW6021,Dreamy White,#E3D9D5
SW6022,Breathless,#D6C2BE
SW6023,Insightful Rose,#C9B0AB
SW6024,Dressy Rose,#B89D9A
SW6025,Socialite,#907676
SW6026,River Rouge,#76595D
SW6027,Cordovan,#5F3D3F
SW6028,Cultured Pearl,#E5DCD6
SW6029,White Truffle,#D7C8C2
SW6030,Artistic Taupe,#C3B1AC
SW6031,Glamour,#B6A09A
SW6032,Dutch Cocoa,#8C706A
SW6033,Bateau Brown,#7A5F5A
SW6034,Arresting Auburn,#5A3532
SW6035,Gauzy White,#E3DBD4
SW6036,Angora,#D1C5BE
SW6037,Temperate Taupe,#BFB1AA
SW6038,Truly Taupe,#AC9E97
SW6039,Poised Taupe,#8C7E78
SW6040,Less Brown,#756761
SW6041,Otter,#56433B
SW6042,Hush White,#E5DAD4
SW6043,Unfussy Beige,#D6C8C0
SW6044,Doeskin,#C6B3A9
SW6045,Emerging Taupe,#B8A196
SW6046,Swing Brown,#947569
SW6047,Hot Cocoa,#806257
SW6048,Terra Brun,#5A382D
SW6049,Gorgeous White,#E7DBD3
SW6050,Abalone Shell,#DBC7BD
SW6051,Sashay Sand,#CFB4A8
SW6052,Sandbank,#C3A497
SW6053,Reddened Earth,#9C6E63
SW6054,Canyon Clay,#85594F
SW6055,Fiery Brown,#5D3831
SW6056,Polite White,#E9DDD4
SW6057,Malted Milk,#DECABD
SW6058,Likeable Sand,#D1B7A8
SW6059,Interface Tan,#C1A392
SW6060,Moroccan Brown,#9D7868
SW6061,Tanbark,#896656
SW6062,Rugged Brown,#694336
SW6063,Nice White,#E6DDD5
SW6064,Reticence,#D9CDC3
SW6065,Bona Fide Beige,#CBB9AB
SW6066,Sand Trap,#BBA595
SW6067,Mocha,#967A6A
SW6068,Brevity Brown,#715243
SW6069,French Roast,#4F3426
SW6070,Heron Plume,#E5E1D8
SW6071,Popular Gray,#D4CCC3
SW6072,Versatile Gray,#C1B6AB
SW6073,Perfect Greige,#B7AB9F
SW6074,Spalding Gray,#8D7F75
SW6075,Garret Gray,#756861
SW6076,Turkish Coffee,#4D3930
SW6077,Everyday White,#E4DCD4
SW6078,Realist Beige,#D3C8BD
SW6079,Diverse Beige,#C2B4A7
SW6080,Utterly Beige,#B5A597
SW6081,Down Home,#907865
SW6082,Cobble Brown,#7A6455
SW6083,Sable,#5F4B3F
SW6084,Modest White,#E6DDD4
SW6085,Simplify Beige,#D6C7B9
SW6086,Sand Dune,#C5B1A2
SW6087,Trusty Tan,#B59F8F
SW6088,Nuthatch,#8E725F
SW6089,Grounded,#785B47
SW6090,Java,#634533
SW6091,Reliable White,#E8DED3
SW6092,Lightweight Beige,#DAC8B8
SW6093,Familiar Beige,#CAB3A0
SW6094,Sensational Sand,#BFA38D
SW6095,Toasty,#957258
SW6096,Jute Brown,#815D40
SW6097,Sturdy Brown,#69482C
SW6098,Pacer White,#E5DDD0
SW6099,Sand Dollar,#D7C5B3
SW6100,Practical Beige,#C9B29C
SW6101,Sands of Time,#BCA38B
SW6102,Portabello,#947A62
SW6103,Tea Chest,#7D644D
SW6104,Kaffee,#65503D
SW6105,Divine White,#E6DCCD
SW6106,Kilim Beige,#D7C5AE
SW6107,Nomadic Desert,#C7B198
SW6108,Latte,#BAA185
SW6109,Hopsack,#9E8163
SW6110,Steady Brown,#8A6B4D
SW6111,Coconut Husk,#70573F
SW6112,Biscuit,#EBDDCB
SW6113,Interactive Cream,#E4CAAD
SW6114,Bagel,#D7B593
SW6115,Totally Tan,#CCA683
SW6116,Tatami Tan,#BA8C64
SW6117,Smokey Topaz,#A57955
SW6118,Leather Bound,#8D623D
SW6119,Antique White,#E8DCC6
SW6120,Believable Buff,#DBC7A8
SW6121,Whole Wheat,#CDB592
SW6122,Camelback,#C5AA85
SW6123,Baguette,#B39167
SW6124,Cardboard,#9C7A56
SW6125,Craft Paper,#8A6645
SW6126,Navajo White,#E9DCC6
SW6127,Ivoire,#E4CEAC
SW6128,Blonde,#DCBD92
SW6129,Restrained Gold,#D2B084
SW6130,Mannered Gold,#C19763
SW6131,Chamois,#AD8451
SW6132,Relic Bronze,#906A3A
SW6133,Muslin,#EADFC9
SW6134,Netsuke,#E0CFB0
SW6135,Ecru,#D0BA94
SW6136,Harmonic Tan,#C6B08A
SW6137,Burlap,#AC9571
SW6138,Artifact,#9A815E
SW6139,Mossy Gold,#7F6743
SW6140,Moderate White,#E9DECF
SW6141,Softer Tan,#DACAB2
SW6142,Macadamia,#CCB79B
SW6143,Basket Beige,#C0A98B
SW6144,Dapper Tan,#947F65
SW6145,Thatch Brown,#867057
SW6146,Umber,#6E543C
SW6147,Panda White,#EAE2D4
SW6148,Wool Skein,#D9CFBA
SW6149,Relaxed Khaki,#C8BBA3
SW6150,Universal Khaki,#B8A992
SW6151,Quiver Tan,#8E7F6A
SW6152,Superior Bronze,#786957
SW6153,Protégé Bronze,#66543E
SW6154,Nacre,#E8E2D4
SW6155,Rice Grain,#DBD0B9
SW6156,Ramie,#CDBDA2
SW6157,Favorite Tan,#C1AE91
SW6158,Sawdust,#998970
SW6159,High Tea,#7E6F59
SW6160,Best Bronze,#5D513E
SW6161,Nonchalant White,#DEDDD1
SW6162,Ancient Marble,#D1CCB9
SW6163,Grassland,#C1BCA7
SW6164,Svelte Sage,#B2AC96
SW6165,Connected Gray,#898473
SW6166,Eclipse,#6B6757
SW6167,Garden Gate,#5E5949
SW6168,Moderne White,#E2E0D7
SW6169,Sedate Gray,#D1CDBF
SW6170,Techno Gray,#BFB9AA
SW6171,Chatroom,#B0AB9C
SW6172,Hardware,#8B8372
SW6173,Cocoon,#726B5B
SW6174,Andiron,#424036
SW6175,Sagey,#E2E2D1
SW6176,Liveable Green,#CECEBD
SW6177,Softened Green,#BBBCA7
SW6178,Clary Sage,#ACAD97
SW6179,Artichoke,#7F8266
SW6180,Oakmoss,#65684C
SW6181,Secret Garden,#4F523A
SW6182,Ethereal White,#E3E2D9
SW6183,Conservative Gray,#D1D0C6
SW6184,Austere Gray,#BEBFB2
SW6185,Escape Gray,#ABAC9F
SW6186,Dried Thyme,#7B8070
SW6187,Rosemary,#64695C
SW6188,Shade‐Grown,#4E5147
SW6189,Opaline,#DCDFD7
SW6190,Filmy Green,#D1D3C7
SW6191,Contented,#BDC0B3
SW6192,Coastal Plain,#9FA694
SW6193,Privilege Green,#7A8775
SW6194,Basil,#626E60
SW6195,Rock Garden,#465448
SW6196,Frosty White,#DDDDD6
SW6197,Aloof Gray,#C9C9C0
SW6198,Sensible Hue,#B6B5AB
SW6199,Rare Gray,#A6A69B
SW6200,Link Gray,#7F7E72
SW6201,Thunderous,#6D6C62
SW6202,Cast Iron,#64645A
SW6203,Spare White,#E4E4DD
SW6204,Sea Salt,#CDD2CA
SW6205,Comfort Gray,#BEC3BB
SW6206,Oyster Bay,#AEB3A9
SW6207,Retreat,#7A8076
SW6208,Pewter Green,#5E6259
SW6209,Ripe Olive,#44483D
SW6210,Window Pane,#D7DFD8
SW6211,Rainwashed,#C2CDC5
SW6212,Quietude,#ADBBB2
SW6213,Halcyon Green,#9BAAA2
SW6214,Underseas,#7C8E87
SW6215,Rocky River,#5E706A
SW6216,Jasper,#343B36
SW6217,Topsail,#DAE2E0
SW6218,Tradewind,#C2CFCF
SW6219,Rain,#ABBEBF
SW6220,Interesting Aqua,#9BAFB2
SW6221,Moody Blue,#7A9192
SW6222,Riverway,#5D7274
SW6223,Still Water,#4A5D5F
SW6224,Mountain Air,#D8E0DF
SW6225,Sleepy Blue,#BCCBCE
SW6226,Languid Blue,#A4B7BD
SW6227,Meditative,#96AAB0
SW6228,Refuge,#607D84
SW6229,Tempe Star,#47626A
SW6230,Rainstorm,#244653
SW6231,Rock Candy,#DEE1DF
SW6232,Misty,#CDD2D2
SW6233,Samovar Silver,#B8BEBE
SW6234,Uncertain Gray,#A9B0B1
SW6235,Foggy Day,#727C7F
SW6236,Grays Harbor,#596368
SW6237,Dark Night,#23383F
SW6238,Icicle,#DBDFE0
SW6239,Upward,#BFC9D0
SW6240,Windy Blue,#AABAC6
SW6241,Aleutian,#98A9B7
SW6242,Bracing Blue,#768B9A
SW6243,Distance,#5D6F7F
SW6244,Naval,#2F3D4C
SW6245,Quicksilver,#DDE2E0
SW6246,North Star,#CAD0D2
SW6247,Krypton,#B8C0C3
SW6248,Jubilee,#ADB5B9
SW6249,Storm Cloud,#7A848D
SW6250,Granite Peak,#606B75
SW6251,Outerspace,#586168
SW6252,Ice Cube,#E3E4E1
SW6253,Olympus White,#D4D8D7
SW6254,Lazy Gray,#BEC1C3
SW6255,Morning Fog,#A8AEB1
SW6256,Serious Gray,#7D848B
SW6257,Gibraltar,#626970
SW6258,Tricorn Black,#2F2F30
SW6259,Spatial White,#DDDCDB
SW6260,Unique Gray,#CBC9C9
SW6261,Swanky Gray,#B5B1B5
SW6262,Mysterious Mauve,#A6A3A9
SW6263,Exclusive Plum,#736F78
SW6264,Midnight,#5D5962
SW6265,Quixotic Plum,#4A4653
SW6267,Sensitive Tint,#CEC9CC
SW6268,Veiled Violet,#BDB5B9
SW6269,Beguiling Mauve,#AFA7AC
SW6270,Soulmate,#85777B
SW6271,Expressive Plum,#695C62
SW6272,Plum Brown,#4E4247
SW6274,Destiny,#CFC9C8
SW6275,Fashionable Gray,#BDB8B8
SW6276,Mystical Shade,#AEA9AA
SW6277,Special Gray,#7B787D
SW6278,Cloak Gray,#605E63
SW6279,Black Swan,#3A373E
SW6281,Wallflower,#DBCFD4
SW6282,Mauve Finery,#CBB8C0
SW6283,Thistle,#AA8E9A
SW6284,Plum Dandy,#8B6878
SW6285,Grape Harvest,#7E5A6D
SW6286,Mature Grape,#5F3F54
SW6288,Rosebud,#E0CDD1
SW6289,Delightful,#D2B6BE
SW6290,Rosé,#B995A1
SW6291,Moss Rose,#9E6D79
SW6292,Berry Bush,#8D5869
SW6293,Fabulous Grape,#6D344F
SW6295,Demure,#E8D4D5
SW6296,Fading Rose,#DABDC1
SW6297,Rose Embroidery,#C79EA2
SW6298,Concerto,#9E6B75
SW6299,Aged Wine,#895460
SW6300,Burgundy,#63333E
SW6302,Innocence,#EBD1CF
SW6303,Rose Colored,#DCB6B5
SW6304,Pressed Flower,#C39393
SW6305,Rambling Rose,#995D62
SW6306,Cordial,#864C52
SW6307,Fine Wine,#723941
SW6309,Charming Pink,#EDD3D2
SW6310,Lotus Flower,#E6BDBD
SW6311,Memorable Rose,#CF8A8D
SW6312,Redbud,#AD5E65
SW6313,Kirsch Red,#974953
SW6314,Luxurious Red,#863A42
SW6316,Rosy Outlook,#EBCECB
SW6317,Gracious Rose,#E3B7B1
SW6318,Resounding Rose,#CD8E89
SW6319,Reddish,#B56966
SW6320,Bravado Red,#A0524E
SW6321,Red Bay,#8E3738
SW6322,Intimate White,#F0E1D8
SW6323,Romance,#EBCFC3
SW6324,Mellow Coral,#E3B5A8
SW6325,Constant Coral,#CD8E7F
SW6326,Henna Shade,#B3675D
SW6327,Bold Brick,#A0584F
SW6328,Fireweed,#7B3730
SW6329,Faint Coral,#EEDED5
SW6330,Quaint Peche,#EACDC1
SW6331,Smoky Salmon,#E2B6A7
SW6332,Coral Island,#CE9382
SW6333,Foxy,#A85E53
SW6334,Flower Pot,#8F4438
SW6335,Fired Brick,#83382A
SW6336,Nearly Peach,#EFDED1
SW6337,Spun Sugar,#EDD2C0
SW6338,Warming Peach,#E4B9A2
SW6339,Persimmon,#D9987C
SW6340,Baked Clay,#C1785C
SW6341,Red Cent,#AD654C
SW6342,Spicy Hue,#994B35
SW6343,Alluring White,#EFE1D2
SW6344,Peach Fuzz,#ECCFBB
SW6345,Sumptuous Peach,#E5B99B
SW6346,Fame Orange,#DB9C7B
SW6347,Chrysanthemum,#C47B5B
SW6348,Reynard,#B46848
SW6349,Pennywise,#A2583A
SW6350,Intricate Ivory,#EDDDCA
SW6351,Sweet Orange,#EBCCB3
SW6352,Soft Apricot,#E0B392
SW6353,Chivalry Copper,#D4966E
SW6354,Armagnac,#C38058
SW6355,Truepenny,#B46C42
SW6356,Copper Mountain,#A6613C
SW6357,Choice Cream,#F0E1D0
SW6358,Creamery,#EDD0B6
SW6359,Sociable,#E8BE9B
SW6360,Folksy Gold,#D69969
SW6361,Autumnal,#CD8C5D
SW6362,Tigereye,#BB7748
SW6363,Gingery,#B06C3E
SW6364,Eggwhite,#F3E5D2
SW6365,Cachet Cream,#F3D9BA
SW6366,Ambitious Amber,#F0CB97
SW6367,Viva Gold,#E3AC72
SW6368,Bakelite Gold,#D7995D
SW6369,Tassel,#C6884A
SW6370,Saucy Gold,#B6743B
SW6371,Vanillin,#F2E3CA
SW6372,Inviting Ivory,#F2D5B0
SW6373,Harvester,#EDC38E
SW6374,Torchlight,#E5AE6B
SW6375,Honeycomb,#D59858
SW6376,Gold Coast,#C78538
SW6377,Butterscotch,#B67D3C
SW6378,Crisp Linen,#F3E6D4
SW6379,Jersey Cream,#F5DEBB
SW6380,Humble Gold,#EDC796
SW6381,Anjou Pear,#DDAC6D
SW6382,Ceremonial Gold,#D69E59
SW6383,Golden Rule,#CC9249
SW6384,Cut the Mustard,#BA7F38
SW6385,Dover White,#F0EADC
SW6386,Napery,#EFDDC1
SW6387,Compatible Cream,#E8C89E
SW6388,Golden Fleece,#D6AD78
SW6389,Butternut,#CC9B5C
SW6390,Bosc Pear,#C09056
SW6391,Gallant Gold,#A4763C
SW6392,Vital Yellow,#EDE0C5
SW6393,Convivial Yellow,#E9D6B0
SW6394,Sequin,#E1C28D
SW6395,Alchemy,#C99E53
SW6396,Different Gold,#BC934D
SW6397,Nankeen,#AA803A
SW6398,Sconce Gold,#996F32
SW6399,Chamomile,#E9E0C5
SW6400,Lucent Yellow,#E4D0A5
SW6401,Independent Gold,#D2BA83
SW6402,Antiquity,#C2A462
SW6403,Escapade Gold,#B89B59
SW6404,Grandiose,#9C7F41
SW6405,Fervent Brass,#95793D
SW6406,Ionic Ivory,#E7DFC5
SW6407,Ancestral Gold,#DDCDA6
SW6408,Wheat Grass,#CBB584
SW6409,Edgy Gold,#B1975F
SW6410,Brassy,#9D8344
SW6411,Bengal Grass,#8E773F
SW6412,Eminent Bronze,#7A6841
SW6413,Restoration Ivory,#E9E1CA
SW6414,Rice Paddy,#DFD4B0
SW6415,Hearts of Palm,#CFC291
SW6416,Sassy Green,#BBA86A
SW6417,Tupelo Tree,#9C9152
SW6418,Rural Green,#8D844D
SW6419,Saguaro,#655F2D
SW6420,Queen Anne's Lace,#ECEAD5
SW6421,Celery,#E0DDBD
SW6422,Shagreen,#CBC99D
SW6423,Ryegrass,#AEAC7A
SW6424,Tansy Green,#95945C
SW6425,Relentless Olive,#71713E
SW6426,Basque Green,#5F6033
SW6427,Sprout,#E4E4CE
SW6428,Honeydew,#DBDDBD
SW6429,Baize Green,#C7CDA8
SW6430,Great Green,#ABB486
SW6431,Leapfrog,#88915D
SW6432,Garden Spot,#6D7645
SW6433,Inverness,#576238
SW6434,Spinach White,#E4E8DA
SW6435,Gratifying Green,#DAE2CD
SW6436,Bonsai Tint,#C5D1B2
SW6437,Haven,#A3B48C
SW6438,Dill,#788D60
SW6439,Greenfield,#60724F
SW6440,Courtyard,#475842
SW6441,White Mint,#E0E7DA
SW6442,Supreme Green,#CFDDC7
SW6443,Relish,#B3CBAA
SW6444,Lounge Green,#8BA97F
SW6445,Garden Grove,#5E7F57
SW6446,Arugula,#42603C
SW6447,Evergreens,#405840
SW6449,Topiary Tint,#C8D8C4
SW6450,Easy Green,#ACC2A8
SW6451,Nurture Green,#98B092
SW6452,Inland,#6C8867
SW6453,Cilantro,#537150
SW6454,Shamrock,#205134
SW6455,Fleeting Green,#D8E2D8
SW6456,Slow Green,#C6D5C9
SW6457,Kind Green,#AAC2B3
SW6458,Restful,#91AF9D
SW6459,Jadite,#61826C
SW6460,Kale Green,#4F6A56
SW6461,Isle of Pines,#3D5541
SW6462,Green Trance,#D7E4DB
SW6463,Breaktime,#C4D9CE
SW6464,Aloe,#ACCABC
SW6465,Spearmint,#94B5A6
SW6466,Grandview,#6B927F
SW6467,Kendal Green,#547867
SW6468,Hunt Club,#2A4F43
SW6470,Waterscape,#BFD2C9
SW6471,Hazel,#A8C1B7
SW6472,Composed,#7EA298
SW6473,Surf Green,#5F887D
SW6474,Raging Sea,#476F65
SW6475,Country Squire,#124A42
SW6476,Glimmer,#E0E7E2
SW6477,Tidewater,#C3D7D3
SW6478,Watery,#B4CCC9
SW6479,Drizzle,#8CAEAB
SW6480,Lagoon,#518682
SW6481,Green Bay,#2E6864
SW6482,Cape Verde,#01554F
SW6484,Meander Blue,#BEDBD8
SW6485,Raindrop,#9EC6C6
SW6486,Reflecting Pool,#7BB1B2
SW6487,Cloudburst,#5C9598
SW6488,Grand Canal,#3C797D
SW6489,Really Teal,#016367
SW6491,Open Air,#C7DFE0
SW6492,Jetstream,#B0D2D6
SW6493,Ebbtide,#84B4BE
SW6494,Lakeshore,#5B96A2
SW6495,Great Falls,#217786
SW6496,Oceanside,#015A6B
SW6497,Blue Horizon,#D8E7E6
SW6498,Byte Blue,#C5DCE0
SW6499,Stream,#ADCCD3
SW6500,Open Seas,#83AFBC
SW6501,Manitou Blue,#5B92A2
SW6502,Loch Blue,#2F778B
SW6503,Bosporus,#015D75
SW6504,Sky High,#DCE7E8
SW6505,Atmospheric,#C2DAE0
SW6506,Vast Sky,#A9C9D7
SW6507,Resolute Blue,#85B0C4
SW6508,Secure Blue,#5389A1
SW6509,Georgian Bay,#22657F
SW6510,Loyal Blue,#01455E
SW6511,Snowdrop,#E0E8E7
SW6512,Balmy,#C5D8DE
SW6513,Take Five,#B3C9D3
SW6514,Respite,#97B4C3
SW6515,Leisure Blue,#6A8EA1
SW6516,Down Pour,#43718B
SW6517,Regatta,#215772
SW6519,Hinting Blue,#CED9DD
SW6520,Honest Blue,#B2C7D3
SW6521,Notable Hue,#8BA7BB
SW6522,Sporty Blue,#6A8AA4
SW6523,Denim,#506B84
SW6524,Commodore,#25476A
SW6525,Rarified Air,#E1E6E6
SW6526,Icelandic,#CBD8E1
SW6527,Blissful Blue,#B2C8D8
SW6528,Cosmos,#8EA9C2
SW6529,Scanda,#6B8CA9
SW6530,Revel Blue,#4C6B8A
SW6531,Indigo,#284A70
SW6533,Mild Blue,#CBD5DB
SW6534,Icy,#BBC7D2
SW6535,Solitude,#99A7B8
SW6536,Searching Blue,#6C7F9A
SW6537,Luxe Blue,#516582
SW6538,Dignified,#3B496D
SW6540,Starry Night,#D6D9DE
SW6541,Daydream,#BDC3CD
SW6542,Vesper Violet,#99A0B2
SW6543,Soulful Blue,#757C91
SW6544,Mesmerize,#5D657B
SW6545,Majestic Purple,#3B3C5A
SW6547,Silver Peony,#DAD6DB
SW6548,Grape Mist,#C5C0C9
SW6549,Ash Violet,#A29BAA
SW6550,Mythical,#7E778E
SW6551,Purple Passage,#645E77
SW6552,Dewberry,#3E385A
SW6554,Lite Lavender,#E0DADF
SW6555,Enchant,#D1C6D2
SW6556,Obi Lilac,#B0A3B6
SW6557,Wood Violet,#7A6B85
SW6558,Plummy,#675A75
SW6559,Concord Grape,#443757
SW6561,Teaberry,#EBD1DB
SW6562,Irresistible,#E3C0CF
SW6563,Rosebay,#CB9AAD
SW6564,Red Clover,#B87E93
SW6565,Grandeur Plum,#92576F
SW6566,Framboise,#7C3655
SW6568,Lighthearted Pink,#EDD5DD
SW6569,Childlike,#E8C0CF
SW6570,Haute Pink,#D899B1
SW6571,Cyclamen,#C47B95
SW6572,Ruby Shade,#A2566F
SW6573,Juneberry,#854158
SW6575,Priscilla,#F1D3DA
SW6576,Azalea Flower,#EFC0CB
SW6577,Jaipur Pink,#E392A1
SW6578,Tuberose,#D47C8C
SW6579,Gala Pink,#B04B63
SW6580,Cerise,#99324E
SW6582,Impatiens Petal,#F1D2D7
SW6583,In the Pink,#F0BCC9
SW6584,Cheery,#EB92A3
SW6585,Coming up Roses,#DD7788
SW6586,Heartfelt,#BD4C5F
SW6587,Valentine,#A53A4E
SW6589,Alyssum,#F2D5D7
SW6590,Loveable,#F0C1C6
SW6591,Amaryllis,#ED939D
SW6592,Grenadine,#D66972
SW6593,Coral Bells,#BB4B51
SW6594,Poinsettia,#9D373C
SW6596,Bella Pink,#F1C6C4
SW6597,Hopeful,#F0B3B2
SW6598,Dishy Coral,#ED9190
SW6599,Begonia,#D76C6E
SW6600,Enticing Red,#B74E4F
SW6601,Tanager,#A43834
SW6603,Oleander,#F2CCC5
SW6604,Youthful Coral,#F0AFA8
SW6605,Charisma,#EE9489
SW6606,Coral Reef,#D9766C
SW6607,Red Tomato,#B24743
SW6608,Rave Red,#A13B34
SW6610,Koral Kicks,#F2D1C3
SW6611,Jovial,#F2B8A7
SW6612,Ravishing Coral,#E79580
SW6613,Lei Flower,#D87B6A
SW6614,Quite Coral,#C76356
SW6615,Peppery,#B85444
SW6617,Blushing,#F0D1C3
SW6618,Cosmetic Peach,#F3C1AB
SW6619,Sockeye,#E49780
SW6620,Rejuvenate,#DD7861
SW6621,Emotional,#C65F47
SW6622,Hearty Orange,#B44B34
